co3,z
220,0
202.204152681529,61.0997963340124
191.938860742011,142.566191446028
173.260343886403,203.665987780041
158.775614450858,259.674134419552
143.657854294415,330.957230142566
129.853180719035,427.698574338086
117.926224243049,453.156822810591
107.648107265548,519.348268839104
97.0812625098928,626.272912423625
91.3497859205199,723.014256619145
86.952770975514,870.672097759674
82.1986280497831,977.596741344196
78.7532966924556,1104.88798370672
77.5599104658887,1221.99592668024
79.6385531603305,1390.02036659878
81.3301427854229,1481.6700610998
86.6038641729823,1608.96130346232
89.9186432205973,1710.79429735234
94.559333887258,1853.36048879837
97.2795573279198,2016.2932790224
97.7777607264452,2225.05091649695
96.9500525059247,2393.07535641548
95.1706606977259,2581.46639511202
94.3002023505993,2698.57433808554
93.5750944339335,2988.7983706721
92.433008359294,3167.00610997963
92.2768059736177,3365.58044806517
89.6098557676498,3650.71283095723
88.7906975724505,3828.92057026477
86.3269748914257,3971.4867617108
83.6300995968334,4220.97759674134
82.7981163636523,4383.91038696538
80.0328408664903,4551.93482688391
78.5635518997499,4725.05091649695
75.1823457323316,4928.71690427699
72.7528231525917,5112.01629327902
70.5692782244009,5203.66598778004
62,5500
